Z,A,EC_Halflife(s)
35,70,0.29485
35,71,2.18197
35,72,0.94906
35,73,178.92175
35,74,267.12170
35,75,426.28549
35,76,53.16645
35,77,33929.75391
35,78,1047350.31250
35,80,6931471872.00000
35,82,6931471872.00000
36,63,0.00183
36,64,0.00832
36,65,0.00643
36,66,0.02818
36,67,0.02319
36,68,0.06756
36,69,0.03495
36,70,0.29920
36,71,0.18254
36,72,15.45288
36,73,3.14927
36,74,1771.13391
36,75,86.69041
36,76,108274.70312
36,77,3102.41699
36,79,122085.03906
36,81,6931471872.00000
37,66,0.00307
37,67,0.00750
37,68,0.00713
37,69,0.01440
37,70,0.01330
37,71,0.03384
37,72,0.02844
37,73,0.19496
37,74,0.60805
37,75,2.87567
37,76,3.83094
37,77,20.23306
37,78,49.12143
37,79,278.11133
37,80,4844.03467
37,81,20518.31836
37,82,1125120.25000
37,83,6931471872.00000
37,84,6931471872.00000
37,86,6931471872.00000
38,68,0.00641
38,69,0.00662
38,70,0.01760
38,71,0.01286
38,72,0.04971
38,73,0.04278
38,74,0.33670
38,75,0.21138
38,76,8.04690
38,77,3.90537
38,78,339.61429
38,79,132.06883
38,80,15329.91309
38,81,102.53542
38,82,6931471872.00000
38,83,26629.10156
38,85,1976707.62500
39,70,0.00386
39,71,0.00748
39,72,0.00583
39,73,0.01765
39,74,0.01701
39,75,0.04037
39,76,0.03781
39,77,0.18439
39,78,0.22924
39,79,3.67996
39,80,3.40577
39,81,22.81370
39,82,11.83516
39,83,466.06592
39,84,1668.43628
39,85,26969.27734
39,86,45974.32422
39,87,5406229.00000
39,88,6931471872.00000
40,72,0.00777
40,73,0.00495
40,74,0.02072
40,75,0.01767
40,76,0.05209
40,77,0.02974
40,78,0.23695
40,79,0.16693
40,80,21.53464
40,81,4.19212
40,82,109.92982
40,83,8.87960
40,84,3661.57031
40,85,88.03050
40,86,959959.31250
40,87,518.13660
40,88,781797760.00000
40,89,4985.27783
41,74,0.00289
41,75,0.00550
41,76,0.00622
41,77,0.01175
41,78,0.01006
41,79,0.03304
41,80,0.04054
41,81,0.17327
41,82,0.20081
41,83,1.59927
41,84,0.55382
41,85,4.32239
41,86,12.83336
41,87,10.13193
41,88,53.01174
41,89,96.54290
41,90,2505.44971
41,91,72077.78906
41,92,296941.56250
41,94,27026570.00000
42,77,0.00429
42,78,0.01762
42,79,0.01047
42,80,0.04433
42,81,0.03173
42,82,0.21406
42,83,0.14027
42,84,1.43139
42,85,0.81831
42,86,30.50999
42,87,6.68648
42,88,431.93756
42,89,15.13386
42,90,8148.07520
42,91,96.92657
42,93,196736864.00000
43,79,0.00463
43,80,0.00410
43,81,0.01075
43,82,0.01026
43,83,0.02474
43,84,0.02223
43,85,0.09168
43,86,0.14409
43,87,0.57391
43,88,0.47476
43,89,1.74670
43,90,4.54187
43,91,11.06209
43,92,55.85385
43,93,567.50287
43,94,6054.72168
43,95,6530.13135
43,96,6931471872.00000
43,97,6931471872.00000
43,98,8167.50586
43,100,1625999.25000
44,81,0.00507
44,82,0.01121
44,83,0.00926
44,84,0.03168
44,85,0.02124
44,86,0.10604
44,87,0.09698
44,88,0.99981
44,89,0.42752
44,90,7.24547
44,91,1.45035
44,92,72.96784
44,93,6.69344
44,94,38441288.00000
44,95,254535.78125
44,97,12527.10742
45,83,0.00513
45,84,0.00448
45,85,0.00999
45,86,0.01043
45,87,0.02219
45,88,0.02316
45,89,0.08997
45,90,0.07103
45,91,0.36135
45,92,0.53872
45,93,1.72169
45,94,4.22574
45,95,24.76162
45,96,152.45979
45,97,314.35507
45,98,533.32599
45,99,2157.34985
45,100,12563.67188
45,101,243324141568.00000
45,102,6931471872.00000
45,104,223634800.00000
46,86,0.01206
46,87,0.01002
46,88,0.02709
46,89,0.02387
46,90,0.07261
46,91,0.06667
46,92,0.53117
46,93,0.18551
46,94,4.17486
46,95,1.06048
46,96,317.40213
46,97,4934.76416
46,98,6931471872.00000
46,99,291.71722
46,100,2485370.50000
46,101,2297.39038
46,103,869891.56250
47,88,0.00538
47,89,0.00957
47,90,0.00892
47,91,0.01955
47,92,0.01786
47,93,0.07383
47,94,0.06775
47,95,0.46921
47,96,0.64519
47,97,4.80425
47,98,16.86589
47,99,20.84922
47,100,17.21675
47,101,150.34595
47,102,138.10141
47,103,806.29858
47,104,1480.11609
47,105,4604.61816
47,106,388.99573
47,108,6931471872.00000
47,110,6931471872.00000
48,90,0.00890
48,91,0.00812
48,92,0.02006
48,93,0.01858
48,94,0.07073
48,95,0.05397
48,96,0.67789
48,97,0.27424
48,98,20.53198
48,99,63.02245
48,100,100.34228
48,101,69.31024
48,102,2542.93726
48,103,122.18762
48,104,53628.29688
48,105,2130.94043
48,107,3854.76074
48,109,6931471872.00000
49,92,0.00466
49,93,0.00870
49,94,0.00943
49,95,0.02198
49,96,0.02079
49,97,0.10470
49,98,0.09891
49,99,1.16443
49,100,3.44891
49,101,11.31294
49,102,5.20975
49,103,12.23524
49,104,6.06299
49,105,59.12210
49,106,46.07639
49,107,448.65616
49,108,208.53384
49,109,1772.99036
49,110,2175.79346
49,111,13669.09570
49,112,6931471872.00000
49,114,6931471872.00000
49,116,6931471872.00000
50,94,0.03564
50,95,0.00756
50,96,0.01660
50,97,0.02153
50,98,0.27405
50,99,0.06365
50,100,58.23532
50,101,4.84495
50,102,161.67920
50,103,6.58499
50,104,17.71333
50,105,31.48075
50,106,73.56194
50,107,15.96510
50,108,1979.61633
50,109,167.17831
50,110,12612884.00000
50,111,269.04175
50,113,2222.97412
51,97,0.00385
51,98,0.00362
51,99,0.00679
51,100,0.00641
51,101,0.01369
51,102,0.01842
51,103,0.05642
51,104,0.23308
51,105,0.54802
51,106,1.02393
51,107,2.44439
51,108,1.63000
51,109,11.95151
51,110,9.79357
51,111,43.21584
51,112,74.20739
51,113,224.42270
51,114,287.76843
51,115,2683.25366
51,116,20745.39258
51,117,33020.98828
51,118,530333.81250
51,119,6931471872.00000
51,120,6931471872.00000
51,122,6931471872.00000
51,124,6931471872.00000
52,99,0.00614
52,100,0.01868
52,101,0.01154
52,102,0.04693
52,103,0.08801
52,104,0.37822
52,105,0.45633
52,106,1.70128
52,107,0.75730
52,108,8.48562
52,109,3.32183
52,110,37.69795
52,111,27.00658
52,112,145.57610
52,113,70.56610
52,114,1054.47144
52,115,39.21851
52,116,14085.51758
52,117,7819.59424
52,118,6931471872.00000
52,119,55581.35547
52,121,6931471872.00000
52,123,6931471872.00000
53,101,0.00583
53,102,0.00448
53,103,0.00872
53,104,0.01384
53,105,0.03232
53,106,0.03367
53,107,0.09057
53,108,0.13546
53,109,0.30063
53,110,0.44338
53,111,0.85354
53,112,1.13060
53,113,3.74160
53,114,4.51164
53,115,14.89744
53,116,9.71709
53,117,47.88293
53,118,74.09920
53,119,846.40863
53,120,154.12584
53,121,3772.74463
53,122,9959.99414
53,123,26497.13281
53,124,17987.60547
53,125,1279575.75000
53,126,6931471872.00000
53,128,6931471872.00000
53,130,6931471872.00000
54,103,0.00530
54,104,0.01114
54,105,0.01292
54,106,0.04462
54,107,0.04222
54,108,0.18443
54,109,0.23428
54,110,0.97307
54,111,0.84771
54,112,3.92076
54,113,1.91219
54,114,9.45722
54,115,5.96985
54,116,74.36967
