n,z,halflife(Seconds),d-halflife
8,9,64.49,0.1599999999999966
8,10,1.667,0.0017000000000000348
8,12,0.0908,0.0024000000000000063
8,14,0.029,0.002
9,4,2.7e-21,1.8000000000000003e-21
9,5,0.01236,0.0002899999999999986
9,6,2.449,0.004999999999999893
9,7,7.13,0.019999999999999574
9,8,STABLE,
9,9,6586.2,3
9,10,17.22,0.019999999999999574
9,11,0.44789999999999996,0.0022999999999999965
9,12,122,
9,13,0.0911,0.0005000000000000004
9,14,0.0423,0.0003999999999999976
10,4,0.00435,0.00017
10,5,0.01018,0.000029999999999998778
10,6,0.747,0.008000000000000007
10,7,4.171,0.0040000000000000036
10,8,STABLE,
10,9,STABLE,
10,10,STABLE,
10,11,22.49,0.03999999999999915
10,12,3.8755,0.00010000000000021103
10,13,0.47,0.030000000000000027
10,14,0.1405,0.0015000000000000013
11,4,7.856896551724138e-22,2.7092746730083238e-22
11,6,0.191,0.006000000000000005
11,7,0.619,0.0020000000000000018
11,8,26.88,0.05000000000000071
11,9,11.07,0.0600000000000005
11,10,STABLE,
11,11,82106563.67999999,69426.72000000626
11,12,11.317,0.010999999999999233
11,13,2.053,0.0040000000000000036
11,14,0.22,0.0030000000000000027
11,15,0.0437,0.0006000000000000033
11,16,0.0155,0.0015000000000000005
12,4,5.696249999999999e-22,1.4240624999999996e-22
12,5,0.00508,0.0000499999999999997
12,6,0.092,0.0020000000000000018
12,7,0.336,0.0030000000000000027
12,8,13.51,0.05000000000000071
12,9,4.158,0.019999999999999574
12,10,STABLE,
12,11,STABLE,
12,12,STABLE,
12,13,7.183,0.011999999999999567
12,14,2.2453,0.000700000000000145
12,15,0.26,0.08000000000000002
12,16,0.125,0.010000000000000002
13,6,0.046200000000000005,0.004
13,7,0.136,0.0030000000000000027
13,8,3.42,0.10000000000000009
13,9,4.23,0.040000000000000036
13,10,37.24,0.11999999999999744
13,11,53989.2,43.20000000000073
13,12,STABLE,
13,13,22626799200000,757382400000
13,14,4.15,0.040000000000000036
13,15,0.27030000000000004,0.0005000000000000004
13,16,0.188,0.0040000000000000036
13,18,0.014400000000000001,0.000599999999999999
14,5,0.00292,0.0001299999999999999
14,6,0.0162,0.0034999999999999996
14,7,0.0848,0.006699999999999998
14,8,2.25,0.08999999999999986
14,9,2.23,0.014000000000000012
14,10,202.79999999999998,1.2000000000000028
14,11,59.1,0.6000000000000014
14,12,STABLE,
14,13,STABLE,
14,14,STABLE,
14,15,4.142,0.01499999999999968
14,16,1.178,0.004999999999999893
14,17,0.19,0.0010000000000000009
14,18,0.098,0.00020000000000000573
15,7,0.0195,0.002
15,8,0.097,0.008
15,9,0.382,0.016000000000000014
15,10,0.602,0.008000000000000007
15,11,1.07128,0.0002500000000000835
15,12,567.48,0.7200000000000273
15,13,134.70000000000002,0.11999999999999034
15,14,STABLE,
15,15,149.88000000000002,0.23999999999999488
15,16,2.5534,0.00010000000000021103
15,17,0.298,0.0010000000000000009
15,18,0.17300000000000001,0.0020000000000000018
15,20,0.0257,0.0001999999999999988
16,6,0.0060999999999999995,0.0013
16,7,0.0141,0.0012500000000000011
16,8,0.07200000000000001,0.0049999999999999975
16,9,0.08,0.008999999999999994
16,10,0.197,0.0020000000000000018
16,11,0.301,0.006000000000000005
16,12,75294,32.400000000001455
16,13,393.59999999999997,3.599999999999966
16,14,STABLE,
16,15,STABLE,
16,16,STABLE,
16,17,2.511,0.0040000000000000036
16,18,0.8445,0.0033999999999999586
16,19,0.178,0.007999999999999993
16,20,0.10200000000000001,0.0020000000000000018
17,8,6.3e-21,8.500000000000004e-22
17,9,0.008199999999999999,0.0009000000000000006
17,10,0.0315,0.0012999999999999973
17,11,0.0305,0.0003999999999999993
17,12,1.3,0.11999999999999988
17,13,3.62,0.06000000000000005
17,14,9441.6,15.599999999999454
17,15,1232755.2,432.0000000001164
17,16,STABLE,
17,17,1.5264,0.0014000000000000679
17,18,1.7756,0.0009999999999998899
17,19,0.342,0.0020000000000000018
17,20,0.1811,0.0010000000000000009
17,22,0.031,0.004999999999999999
18,8,4.5e-12,3.3e-12
18,9,0.005,0.00020000000000000052
18,10,0.02,0.0010000000000000009
18,11,0.0441,0.000899999999999998
18,12,0.317,0.0050000000000000044
18,13,0.644,0.025000000000000022
18,14,4828312800,599594400
18,15,2190240,9504
18,16,STABLE,
18,17,STABLE,
18,18,STABLE,
18,19,1.226,0.006999999999999895
18,20,0.44,0.01200000000000001
18,22,0.0524,0.0002999999999999982
18,24,0.013300000000000001,0.001
19,9,4.6000000000000004e-20,
19,10,0.015,0.003000000000000001
19,11,0.048,0.0020000000000000018
19,12,0.23600000000000002,0.020000000000000004
19,13,0.0319,0.0007999999999999969
19,14,6.11,0.20999999999999996
19,15,12.43,0.09999999999999964
19,16,7548768,3456.0000000004657
19,17,9498837600000,63115200000
19,18,3027456,3456
19,19,458.16,1.079999999999984
19,20,0.8596,0.0013999999999999568
19,21,0.18230000000000002,0.0006999999999999784
19,22,0.0819,0.0004999999999999935
19,24,21.2,
19,26,0.0024500000000000004,0.00022999999999999995
20,9,0.00267,0.0002099999999999999
20,10,0.00739,0.00011000000000000029
20,11,0.0174,0.0003999999999999976
20,12,0.08600000000000001,0.0049999999999999975
20,13,0.0417,0.00020000000000000226
20,14,2.77,0.20000000000000018
20,15,47.3,0.7000000000000028
20,16,STABLE,
20,17,STABLE,
20,18,STABLE,
20,19,STABLE,
20,21,0.5962999999999999,0.0017000000000000348
20,22,0.20865,0.000800000000000009
20,23,0.0793,0.0024000000000000063
20,24,0.0428,0.0006000000000000033
20,26,0.013000000000000001,0.002
20,28,0.0021000000000000003,0.001
21,10,0.0034,0.0008000000000000004
21,11,0.0132,0.0004000000000000002
21,12,0.08940000000000001,0.0010000000000000009
21,13,0.056299999999999996,0.0005999999999999998
21,14,0.78,0.12
21,15,5.6,0.2999999999999998
21,16,303,1.1999999999999886
21,17,2234.4,3
21,18,8488994400,94672800
21,19,39383884800000000,94672800000000
21,20,3136825440000,47336400000
21,21,0.6807000000000001,0.00027999999999994696
21,22,0.509,0.0050000000000000044
21,23,0.111,0.006999999999999999
21,24,0.0609,0.00040000000000000105
21,25,0.0362,0.0003999999999999976
